,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO
2020-01-01,1186.1663446573511,2857.071488588757,2222.7824312530747,1836.109604171406,552.4540572830658,552.3841089749876,268.44247528777845,2611.910822747312,1843.2335340553054,2153.410475608532,159.6950334578271,2912.7385712697837,2514.083658321223,715.7834209670009,627.2924049005918,631.8730785749581,982.3025045826594,1621.7936517334897,1352.6405540621356,944.5645065743215
2020-01-02,1190.8248535834664,2712.5653191603988,2291.4345747398243,1833.6145439651857,544.1228355092869,568.9568736094209,278.7912452052403,2678.912244150043,1835.0920335622566,2126.2329384311615,160.26523561690246,2998.71093184932,2536.1396085777965,723.485935830579,627.8273825556058,635.7968355244105,996.010083737965,1634.2659961392324,1336.3326124116288,947.7221481739278
2020-01-03,1188.665929031415,2764.6096775845526,2315.9892250703083,1825.7482670866345,547.3595109830528,567.0403124696807,294.90656138170607,2651.670254498901,1786.91447473121,2174.5678040146868,161.7919954116467,2933.210583080251,2489.2909268376766,727.4258684182859,645.4556609762885,622.5162808680411,978.1267512985373,1555.862172627395,1346.799096681025,923.4012934279942
2020-01-06,1182.102027914882,2690.4142608688758,2364.883490320283,1867.4422878261307,552.2032604868859,569.8005398206551,289.73394364961956,2598.5506445166598,1809.685898495159,2245.409398153341,158.19473445173477,2950.025228210517,2494.1751274439603,718.3925750754191,649.5709144281045,619.4770218898236,978.570677149012,1580.3673310904855,1368.2507627912664,909.9422124709289
2020-01-07,1147.7378020662377,2679.6652271472703,2334.9518905501004,1875.338437740336,565.6337919676438,584.7733415993184,306.2442610589502,2576.040076434316,1831.1954386541202,2277.041889250243,162.18277235568,2966.021309683027,2450.0465762000294,733.4933899595692,657.5989718751018,607.3437171650328,991.5566345141054,1562.8460965613713,1342.9831635770354,938.6650695898434
2020-01-08,1131.7878227758097,2618.2948360055775,2376.0248723846144,1848.834964514287,556.6559955565573,583.5101941778248,304.227909715255,2572.4259889076393,1834.735818952656,2207.5453784408705,164.33045838774748,2964.2859141729996,2519.4339765553223,727.6727258132249,648.0343982044516,628.2588622359162,988.5758502724792,1541.693682720097,1321.917776470316,940.1390488263936
2020-01-09,1121.9268096537835,2525.2416619376036,2325.3236426940225,1919.6616387376712,569.0928793361717,568.3868670298505,300.7751331287344,2553.725485735146,1826.7592881697221,2275.1049205495533,169.53442279727147,2888.8796613013774,2463.311925076813,726.0770255098756,661.6615166708899,653.5450360122976,974.6721730222563,1532.4972655132494,1275.5231374698735,958.0973180276766
2020-01-10,1146.2080483921284,2553.8507675615547,2367.8885757462576,1922.5145758068306,563.1412456323461,593.0322017789331,302.8930254372311,2543.970181773488,1862.8272100457707,2347.941060010946,167.3161600271198,2940.6378434176804,2432.3285308394584,726.1980751358772,692.6683285783594,662.3719616300427,953.8648026988354,1522.3213460688135,1281.62912306311,963.0221890417115
2020-01-13,1154.6583133978866,2593.90307272208,2377.2104482253485,1953.0379427649102,548.3772318896237,587.7570087877555,299.5184255804804,2562.23411451493,1827.0336173206003,2349.997410801722,167.73152504626847,2985.8360746228045,2373.990346785069,721.4639500573584,682.050171361384,674.0755289624071,970.6388502817241,1501.233067134704,1263.5033268467787,988.8173516860737
2020-01-14,1114.5214631097078,2565.291782260416,2404.7029450622863,1930.2566727995925,556.5934205437077,589.9170869246695,302.0586062481419,2554.743199152317,1799.6726715280001,2413.34987053653,167.9474148248821,2946.986254989166,2310.714068529943,725.2280448727115,666.2689766920365,677.7956600412987,988.6483387545753,1502.4001879374764,1306.1599920906272,949.782055653207
