Portfolio_ID,Expected_Return_Percent,Volatility_Percent,Sharpe_Ratio,Risk_Return_Ratio,Efficiency_Score,Investment_Suitability
EF_001,-5.1967,9.6807,-1.1566,-0.5368,-115.66,Below Average
EF_002,-4.7209,9.4219,-1.1379,-0.5011,-113.79,Below Average
EF_003,-4.2451,9.2223,-1.1109,-0.4603,-111.09,Below Average
EF_004,-3.7693,9.0472,-1.0798,-0.4166,-107.98,Below Average
EF_005,-3.2935,8.8908,-1.0453,-0.3704,-104.53,Below Average
EF_006,-2.8178,8.7451,-1.0083,-0.3222,-100.83,Below Average
EF_007,-2.342,8.6092,-0.969,-0.272,-96.9,Below Average
EF_008,-1.8662,8.482,-0.9274,-0.22,-92.74,Below Average
EF_009,-1.3904,8.363,-0.8837,-0.1663,-88.37,Below Average
EF_010,-0.9147,8.251,-0.838,-0.1109,-83.8,Below Average
EF_011,-0.4389,8.1453,-0.7905,-0.0539,-79.05,Below Average
EF_012,0.0369,8.0454,-0.7412,0.0046,-74.12,Below Average
EF_013,0.5127,7.9509,-0.6901,0.0645,-69.01,Below Average
EF_014,0.9885,7.8622,-0.6374,0.1257,-63.74,Below Average
EF_015,1.4642,7.7789,-0.5831,0.1882,-58.31,Below Average
EF_016,1.94,7.7013,-0.5272,0.2519,-52.72,Below Average
EF_017,2.4158,7.6288,-0.4698,0.3167,-46.98,Below Average
EF_018,2.8916,7.5616,-0.4111,0.3824,-41.11,Below Average
EF_019,3.3674,7.4997,-0.351,0.449,-35.1,Below Average
EF_020,3.8431,7.4434,-0.2898,0.5163,-28.98,Below Average
EF_021,4.3189,7.3927,-0.2274,0.5842,-22.74,Below Average
EF_022,4.7947,7.3478,-0.164,0.6525,-16.4,Below Average
EF_023,5.2705,7.3087,-0.0998,0.7211,-9.98,Average
EF_024,5.7462,7.2757,-0.0349,0.7898,-3.49,Average
EF_025,6.222,7.2486,0.0306,0.8584,3.06,Average
EF_026,6.6978,7.2277,0.0965,0.9267,9.65,Average
EF_027,7.1736,7.213,0.1627,0.9945,16.27,Average
EF_028,7.6494,7.2045,0.2289,1.0617,22.89,Average
EF_029,8.1251,7.2022,0.2951,1.1281,29.51,Average
EF_030,8.6009,7.2062,0.3609,1.1935,36.09,Average
EF_031,9.0767,7.2164,0.4263,1.2578,42.63,Average
EF_032,9.5525,7.2328,0.4912,1.3207,49.12,Average
EF_033,10.0283,7.2554,0.5552,1.3822,55.52,Good
EF_034,10.504,7.284,0.6183,1.4421,61.83,Good
EF_035,10.9798,7.3187,0.6804,1.5002,68.04,Good
EF_036,11.4556,7.3594,0.7413,1.5566,74.13,Good
EF_037,11.9314,7.4058,0.8009,1.6111,80.09,Good
EF_038,12.4071,7.4581,0.8591,1.6636,85.91,Good
EF_039,12.8829,7.5159,0.9158,1.7141,91.58,Good
EF_040,13.3587,7.5793,0.9709,1.7625,97.09,Good
EF_041,13.8345,7.648,1.0244,1.8089,102.44,Good
EF_042,14.3103,7.7219,1.0762,1.8532,107.62,Good
EF_043,14.786,7.8008,1.1263,1.8954,112.63,Good
EF_044,15.2618,7.8847,1.1747,1.9356,117.47,Excellent
EF_045,15.7376,7.9733,1.2213,1.9738,122.13,Excellent
EF_046,16.2134,8.0666,1.2661,2.0099,126.61,Excellent
EF_047,16.6891,8.1643,1.3093,2.0442,130.93,Excellent
EF_048,17.1649,8.2662,1.3507,2.0765,135.07,Excellent
EF_049,17.6407,8.3723,1.3904,2.107,139.04,Excellent
EF_050,18.1165,8.4824,1.4284,2.1358,142.84,Excellent
EF_051,18.5923,8.5962,1.4649,2.1628,146.49,Excellent
EF_052,19.068,8.7146,1.4995,2.188,149.95,Excellent
EF_053,19.5438,8.838,1.5325,2.2113,153.25,Excellent
EF_054,20.0196,8.9672,1.5634,2.2325,156.34,Excellent
EF_055,20.4954,9.1026,1.5924,2.2516,159.24,Excellent
EF_056,20.9712,9.2451,1.6194,2.2684,161.94,Excellent
EF_057,21.4469,9.3947,1.6442,2.2829,164.42,Excellent
EF_058,21.9227,9.5524,1.6669,2.295,166.69,Excellent
EF_059,22.3985,9.7429,1.6831,2.2989,168.31,Excellent
EF_060,22.8743,10.0627,1.6769,2.2732,167.69,Excellent
